File: inputs/1.txt Threads: 1
Value: 143562   Time: 1985.07 ms
Value: 143562   Time: 2001.33 ms
Value: 143562   Time: 1964.63 ms
Value: 143562   Time: 1995.48 ms
Value: 143562   Time: 1863.21 ms
Value: 143562   Time: 1372.48 ms
Value: 143562   Time: 1359.38 ms
Value: 143562   Time: 1356.88 ms
Value: 143562   Time: 1368.16 ms
Average Execution Time: 1722.34 ms

File: inputs/4.txt Threads: 1
Value: 751184   Time: 23817.3 ms
Value: 751184   Time: 24104.5 ms
Value: 751184   Time: 25301.7 ms
Value: 751184   Time: 24236.3 ms
Value: 751184   Time: 23666.8 ms
Value: 751184   Time: 24424.1 ms
Value: 751184   Time: 24270.7 ms
Value: 751184   Time: 26152.2 ms
Value: 751184   Time: 29111 ms
Value: 751184   Time: 31550.4 ms
Average Execution Time: 25663.5 ms

File: inputs/4.txt Threads: 2
Value: 751184   Time: 15084.5 ms
Value: 751184   Time: 15386.4 ms
Value: 751184   Time: 15503.8 ms
Value: 751184   Time: 15195 ms
Value: 751184   Time: 14645.4 ms
Value: 751184   Time: 20652.4 ms
Value: 751184   Time: 15569.1 ms
Value: 751184   Time: 15983.8 ms
Value: 751184   Time: 14826.2 ms
Value: 751184   Time: 14712.4 ms
Average Execution Time: 15755.9 ms

File: inputs/4.txt Threads: 4
Value: 751184   Time: 9592.68 ms
Value: 751184   Time: 9625.3 ms
Value: 751184   Time: 9558.6 ms
Value: 751184   Time: 9483.45 ms
Value: 751184   Time: 9522.47 ms
Value: 751184   Time: 9508.47 ms
Value: 751184   Time: 9513.89 ms
Value: 751184   Time: 9661.43 ms
Value: 751184   Time: 9477.85 ms
Value: 751184   Time: 9524.22 ms
Average Execution Time: 9546.84 ms

File: inputs/4.txt Threads: 8
Value: 751184   Time: 7891.26 ms
Value: 751184   Time: 7696.93 ms
Value: 751184   Time: 7812.35 ms
Value: 751184   Time: 8043.16 ms
Value: 751184   Time: 7681.37 ms
Value: 751184   Time: 7738.51 ms
Value: 751184   Time: 7640.06 ms
Value: 751184   Time: 7649.63 ms
Value: 751184   Time: 7797.41 ms
Value: 751184   Time: 7945.33 ms
Average Execution Time: 7789.6 ms

File: inputs/4.txt Threads: 16
Value: 751184   Time: 7246.53 ms
Value: 751184   Time: 7273.53 ms
Value: 751184   Time: 7234.18 ms
Value: 751184   Time: 7238.57 ms
Value: 751184   Time: 7220.19 ms
